timestamps,TP9,AF7,AF8,TP10
1641303833.812,-168.457,-29.297,-33.203,-12.207
1641303833.816,-96.191,-38.574,-32.715,-51.270
1641303833.820,41.992,-42.480,-38.086,-104.004
1641303833.824,62.012,-41.992,-38.086,-109.375
1641303833.828,-50.293,-37.598,-32.227,-27.832
1641303833.832,-137.695,-39.062,-31.250,30.762
1641303833.836,-75.684,-43.457,-27.832,21.973
1641303833.839,64.941,-41.992,-28.320,-43.945
1641303833.843,87.891,-39.551,-38.086,-72.754
1641303833.847,-32.715,-42.480,-38.086,-9.277
1641303833.851,-137.695,-42.969,-27.832,47.852
1641303833.855,-98.145,-40.039,-25.879,19.043
1641303833.842,43.457,-42.969,-27.832,-52.734
1641303833.846,103.516,-36.621,-32.715,-78.125
1641303833.850,2.930,-41.016,-24.902,-19.531
1641303833.854,-130.859,-42.480,-11.719,31.250
1641303833.858,-113.770,-34.180,-23.926,3.418
1641303833.862,32.715,-41.992,-39.062,-52.734
1641303833.866,99.609,-48.340,-32.715,-80.566
1641303833.869,8.301,-34.180,-17.090,-41.992
1641303833.873,-118.652,-31.738,-16.602,12.695
1641303833.877,-117.676,-41.504,-25.879,17.578
1641303833.881,16.602,-38.574,-29.297,-37.109
1641303833.885,102.539,-27.832,-17.578,-93.750
1641303833.903,27.832,-26.855,-14.648,-50.781
1641303833.907,-113.281,-32.227,-27.832,17.578
1641303833.911,-126.953,-32.715,-27.832,2.441
1641303833.915,3.906,-30.273,-15.625,-43.457
1641303833.919,109.375,-27.832,-22.461,-81.055
1641303833.923,49.805,-28.320,-26.367,-56.641
1641303833.927,-94.727,-28.809,-16.113,9.277
1641303833.930,-121.582,-23.926,-13.672,23.438
1641303833.934,-8.301,-23.926,-16.602,-14.160
1641303833.938,98.633,-35.156,-25.879,-61.523
1641303833.942,62.988,-25.879,-19.531,-58.105
1641303833.946,-88.379,-23.438,-22.461,-1.953
1641303833.948,-154.297,-32.227,-24.902,20.508
1641303833.952,-54.199,-34.180,-22.949,-15.625
1641303833.956,79.590,-32.227,-23.438,-80.078
1641303833.960,66.895,-32.227,-22.461,-82.031
1641303833.964,-81.543,-44.434,-24.902,-4.395
1641303833.968,-153.809,-41.992,-22.461,33.203
1641303833.972,-63.965,-36.621,-22.461,-8.301
1641303833.975,70.801,-34.180,-25.879,-73.730
1641303833.979,84.473,-33.203,-23.438,-68.359
1641303833.983,-54.199,-41.016,-22.461,12.207
1641303833.987,-153.320,-30.273,-19.531,36.133
1641303833.991,-80.566,-26.367,-19.043,8.301
1641303833.994,59.570,-35.156,-27.344,-49.316
1641303833.998,91.797,-33.203,-25.879,-76.660
1641303834.002,-25.391,-31.738,-24.902,-18.555
1641303834.006,-140.137,-45.410,-31.738,20.020
1641303834.010,-93.262,-43.457,-25.391,3.418
1641303834.014,54.199,-36.133,-22.949,-51.758
1641303834.018,101.562,-42.969,-30.762,-75.195
1641303834.021,-11.230,-41.992,-23.438,-18.555
1641303834.025,-142.090,-43.457,-26.367,31.250
1641303834.029,-112.305,-44.922,-20.508,10.742
1641303834.033,43.945,-42.969,-15.137,-55.176
1641303834.037,115.723,-35.645,-17.578,-90.820
1641303834.037,10.742,-33.691,-7.812,-36.621
1641303834.041,-126.465,-37.109,-13.184,20.020
1641303834.045,-116.211,-34.180,-14.648,8.301
1641303834.049,20.020,-32.715,-17.578,-44.922
1641303834.053,102.539,-34.668,-22.461,-79.102
1641303834.057,26.367,-43.945,-14.648,-31.738
1641303834.061,-125.000,-42.480,-19.043,11.719
1641303834.064,-150.879,-32.715,-19.531,8.301
1641303834.068,-14.648,-38.086,-17.090,-24.902
1641303834.072,89.844,-37.109,-13.184,-80.078
1641303834.076,17.090,-35.645,-14.160,-60.059
1641303834.080,-129.395,-41.504,-26.367,8.789
1641303834.084,-148.438,-35.156,-25.391,23.926
1641303834.088,-23.438,-24.902,-25.391,-30.762
1641303834.092,92.773,-20.996,-23.438,-84.961
1641303834.096,55.664,-28.320,-28.809,-53.711
1641303834.100,-89.355,-31.250,-29.785,7.324
1641303834.104,-146.484,-35.156,-28.320,19.531
1641303834.108,-40.039,-39.062,-41.016,-16.113
1641303834.111,85.449,-44.922,-41.504,-68.848
1641303834.115,67.383,-37.109,-32.715,-61.035
1641303834.119,-68.848,-31.250,-27.832,9.766
1641303834.123,-145.508,-34.180,-29.297,29.297
1641303834.127,-61.523,-29.785,-28.320,-18.066
1641303834.127,74.707,-25.879,-25.391,-76.172
1641303834.131,70.312,-31.250,-28.809,-73.242
1641303834.135,-67.871,-41.016,-25.879,-3.906
1641303834.139,-138.184,-34.668,-15.625,36.621
1641303834.143,-67.871,-29.297,-21.484,9.277
1641303834.147,57.617,-42.480,-27.344,-64.941
1641303834.151,82.031,-53.711,-21.484,-72.266
1641303834.154,-42.969,-53.711,-17.578,6.348
1641303834.158,-149.902,-39.062,-15.625,34.668
1641303834.162,-88.867,-40.527,-13.184,9.277
1641303834.166,61.523,-45.898,-19.531,-46.875
1641303834.170,102.539,-42.969,-31.250,-83.496
1641303834.177,-7.324,-40.527,-36.133,-26.367
1641303834.181,-127.930,-32.715,-34.180,30.273
1641303834.185,-99.609,-37.598,-29.785,11.230
1641303834.189,51.270,-37.598,-25.879,-48.828
1641303834.193,116.211,-31.250,-27.344,-79.590
1641303834.197,12.695,-37.109,-27.344,-24.414
1641303834.201,-124.023,-50.293,-33.691,40.039
1641303834.204,-107.910,-41.992,-33.691,22.949
1641303834.208,34.668,-31.738,-28.809,-41.992
1641303834.212,103.027,-36.621,-29.785,-77.637
1641303834.216,12.695,-41.504,-41.016,-41.992
1641303834.220,-121.582,-41.016,-39.062,17.578
1641303834.217,-128.418,-32.715,-28.809,21.973
1641303834.221,10.254,-37.109,-30.762,-24.414
1641303834.225,108.887,-38.086,-24.414,-66.895
1641303834.229,43.945,-36.133,-20.020,-36.133
1641303834.233,-90.332,-36.133,-14.648,32.715
1641303834.237,-128.418,-38.574,-18.555,45.410
1641303834.241,-20.020,-46.387,-31.738,4.395
1641303834.244,94.727,-41.504,-33.691,-60.547
1641303834.248,53.223,-41.016,-35.156,-60.059
1641303834.252,-92.285,-41.992,-36.133,3.906
1641303834.256,-134.766,-33.691,-28.320,23.926
1641303834.260,-25.879,-29.297,-21.484,-19.531
1641303834.280,94.238,-27.832,-18.555,-79.102
1641303834.284,67.871,-29.297,-23.438,-64.941
1641303834.288,-69.824,-27.344,-19.043,10.254
1641303834.292,-139.648,-30.762,-18.066,33.203
1641303834.296,-43.945,-40.039,-27.344,-11.230
1641303834.300,81.543,-51.758,-34.668,-69.824
1641303834.304,74.219,-46.875,-38.086,-70.801
1641303834.307,-51.270,-35.645,-28.320,-2.930
1641303834.311,-133.789,-38.086,-26.855,27.344
1641303834.315,-57.617,-45.410,-30.273,3.418
1641303834.319,86.914,-41.016,-18.555,-60.059
1641303834.323,99.609,-36.133,-20.996,-77.148
1641303834.322,-30.273,-34.180,-27.832,-3.418
1641303834.326,-131.348,-38.574,-26.367,38.086
1641303834.330,-74.707,-37.598,-23.438,9.277
